generic_name,brand_names,active_ingredients,nafdac_approved,nafdac_registration_number,nafdac_schedule,nafdac_schedule_date,us_dea_schedule,uk_controlled_drug_class,who_essential_medicine,requires_special_prescription,requires_physician_only,pharmacist_can_prescribe,maximum_days_supply,requires_photo_id,therapeutic_class,pharmacological_class,mechanism_of_action,is_controlled,is_high_risk,requires_monitoring,monitoring_type,monitoring_frequency_days,addiction_risk,abuse_potential,minimum_age,maximum_age,pregnancy_category,breastfeeding_safe,major_contraindications,allergy_cross_reactions,black_box_warning,black_box_warning_text,major_drug_interactions,food_interactions,search_keywords,generic_variations,common_misspellings,safer_alternatives,cheaper_alternatives,notes
Paracetamol,"Panadol,Tylenol,Calpol","Paracetamol 500mg",true,A4-0123,unscheduled,,,,true,false,false,true,30,false,Analgesic,NSAID,COX enzyme inhibition in CNS,false,false,false,,,false,low,,,B,true,"Severe hepatic impairment,Active liver disease","NSAIDs,Aspirin",false,,"Warfarin (increased bleeding risk),Alcohol (liver damage)","Avoid alcohol",paracetamol|acetaminophen|pain relief|fever,Acetaminophen,Paracetmol|Paracetmol|Panadole,"Ibuprofen (for inflammation),Aspirin","Generic paracetamol brands",Most widely used OTC analgesic in Nigeria
Tramadol,"Tramal,Ultram,Contramal","Tramadol HCl 50mg",true,A4-2341,schedule_4,2018-04-06,Schedule IV,Class C,false,true,true,false,14,true,Opioid Analgesic,Synthetic Opioid,Opioid receptor agonist + SNRI,true,true,true,"Pain level,Signs of addiction",30,true,high,18,65,C,false,"Respiratory depression,Acute intoxication with alcohol/drugs,MAO inhibitor use","Other opioids,Codeine",true,"Respiratory depression, addiction risk, seizure risk at high doses","CNS depressants (enhanced sedation),MAOIs (serotonin syndrome),SSRIs (serotonin syndrome),Alcohol (respiratory depression)","Avoid alcohol, limit grapefruit",tramadol|tramal|ultram|pain|opioid,Tramadol HCl|Tramadol Hydrochloride,Tramdol|Tramadl|Tramadon,"Paracetamol + Codeine,NSAIDs for mild pain","Paracetamol alone for mild pain",NAFDAC controlled since 2018 due to abuse. Requires special prescription.
Codeine,"Codeine Phosphate,Panadeine","Codeine Phosphate 30mg",true,A4-4521,schedule_2,2010-01-01,Schedule II,Class B,false,true,true,false,7,true,Opioid Analgesic,Opiate,Opioid receptor agonist,true,true,true,"Pain management,Respiratory function,Addiction signs",14,true,severe,18,,D,false,"Respiratory depression,Acute asthma,Paralytic ileus,Children under 12","Morphine,Other opioids",true,"Respiratory depression in children, risk of addiction, ultra-rapid metabolizers at risk","CNS depressants (respiratory depression),MAOIs (severe reactions),Alcohol (enhanced sedation),Benzodiazepines (respiratory depression)","Avoid alcohol",codeine|opiate|cough|pain,Codeine Phosphate|Methylmorphine,Codiene|Coden|Codein,"Tramadol (weaker),Paracetamol (for mild pain)","Paracetamol + low-dose codeine combinations",High abuse potential. Restricted use in children.
Diazepam,Valium,"Diazepam 5mg",true,A4-7821,schedule_3,2008-01-01,Schedule IV,Class C,true,false,true,false,28,false,Benzodiazepine,Anxiolytic,GABA-A receptor positive modulator,true,true,true,"Sedation level,Cognitive function,Dependence signs",30,true,high,18,,D,false,"Acute narrow-angle glaucoma,Severe respiratory insufficiency,Myasthenia gravis","Other benzodiazepines,Alcohol",true,"Dependence and withdrawal syndrome, respiratory depression, impaired cognition","CNS depressants (enhanced sedation),Opioids (respiratory depression),Alcohol (severe CNS depression),Phenytoin (altered levels)","Avoid alcohol, grapefruit",diazepam|valium|anxiety|benzodiazepine,Diazepam base,Diazepan|Diazapam|Valium,"Buspirone (non-addictive),CBT therapy,SSRIs for anxiety","Propranolol for physical anxiety symptoms",Long-term use risk of dependence. Taper slowly to discontinue.
Warfarin,Coumadin,"Warfarin Sodium 5mg",true,A4-5632,unscheduled,,,,true,false,true,false,30,false,Anticoagulant,Vitamin K antagonist,Inhibits vitamin K epoxide reductase,false,true,true,INR,7,false,low,,,X,false,"Active bleeding,Severe hypertension,Recent CNS surgery","NSAIDs,Aspirin",true,"Bleeding risk, requires regular INR monitoring, narrow therapeutic window","NSAIDs (bleeding risk),Aspirin (bleeding risk),Antibiotics (altered INR),Cranberry juice (increased effect),Vitamin K (decreased effect)","Avoid cranberry, limit vitamin K foods, avoid alcohol",warfarin|coumadin|blood thinner|anticoagulant,Warfarin Sodium,Warfrin|Coumadin|Warfarin,"DOACs (Apixaban, Rivaroxaban) - no monitoring needed","Generic warfarin brands",Requires regular INR monitoring. Many drug and food interactions.
Insulin Glargine,"Lantus,Toujeo,Basaglar","Insulin Glargine 100 units/mL",true,A4-9821,unscheduled,,,,true,false,true,true,90,false,Antidiabetic,Long-acting Insulin,Lowers blood glucose by facilitating cellular glucose uptake,false,true,true,"Blood glucose,HbA1c",30,false,low,,,B,true,"Hypoglycemia,Severe insulin allergy",,false,,"Other insulins (dosing adjustments),Beta-blockers (mask hypoglycemia),ACE inhibitors (increased hypoglycemia risk)","Take with consistent carb intake",insulin|diabetes|lantus|blood sugar|glargine,Insulin|Long-acting insulin,Insuline|Lantis,"Metformin (if not insulin-dependent),Other basal insulins","Biosimilar insulins (Basaglar)",Refrigerate unopened vials. Room temp once opened. Critical medication.
Metformin,"Glucophage,Glucient,Diaformin","Metformin HCl 500mg",true,A4-8765,unscheduled,,,,true,false,false,true,90,false,Antidiabetic,Biguanide,Decreases hepatic glucose production,false,false,true,"Renal function,Vitamin B12 levels",180,false,low,,,B,true,"Severe renal impairment (eGFR <30),Metabolic acidosis,Acute heart failure","",false,,"Contrast media (lactic acidosis risk),Alcohol (lactic acidosis),Topiramate (acidosis)","Take with food, avoid excessive alcohol",metformin|glucophage|diabetes|blood sugar,Metformin Hydrochloride,Metformin|Glucophage|Metfornin,"Insulin (for severe cases),SGLT2 inhibitors","Generic metformin brands",First-line for type 2 diabetes. Check renal function regularly.
Amoxicillin,"Amoxil,Ospamox,Clamoxyl","Amoxicillin 500mg",true,A4-2134,unscheduled,,,,true,false,false,true,10,false,Antibiotic,Beta-lactam (Penicillin),Inhibits bacterial cell wall synthesis,false,false,false,,,false,low,,,B,true,"Penicillin allergy,Infectious mononucleosis","Penicillins,Cephalosporins (10% cross-reactivity)",false,,"Oral contraceptives (reduced effectiveness),Warfarin (increased INR),Methotrexate (increased toxicity)",Take with or without food,amoxicillin|amoxil|antibiotic|penicillin,Amoxicillin trihydrate,Amoxicilin|Amoxycillin|Amoxil,"Cephalosporins (if mild penicillin allergy),Azithromycin (if penicillin allergic)","Generic amoxicillin brands",Complete full course even if symptoms improve. Common first-line antibiotic.
Ibuprofen,"Brufen,Advil,Nurofen","Ibuprofen 400mg",true,A4-4123,unscheduled,,,,true,false,false,true,10,false,Analgesic/Anti-inflammatory,NSAID,COX-1 and COX-2 inhibition,false,false,false,,,false,low,,,C,false,"Active GI bleeding,Severe heart failure,Third trimester pregnancy","Aspirin,NSAIDs",false,,"Warfarin (bleeding risk),Aspirin (reduced cardioprotective effect),ACE inhibitors (reduced antihypertensive effect),Lithium (increased toxicity)","Take with food to reduce GI upset",ibuprofen|brufen|advil|pain|inflammation|nsaid,Ibuprofen acid,Ibuprophen|Ibuprofen|Brufen,"Paracetamol (less GI risk),Topical NSAIDs (for localized pain)","Generic ibuprofen brands",Take with food. Avoid in cardiovascular disease. Short-term use preferred.
Morphine,"MST,Oramorph,Sevredol","Morphine Sulfate 10mg",true,A4-9012,schedule_2,2005-01-01,Schedule II,Class A,true,true,true,false,7,true,Opioid Analgesic,Opiate,Mu-opioid receptor agonist,true,true,true,"Pain control,Respiratory rate,Sedation,Addiction signs",7,true,severe,18,,C,false,"Respiratory depression,Acute asthma,Paralytic ileus,Raised intracranial pressure","Other opioids,Codeine",true,"Severe respiratory depression risk, high addiction potential, tolerance develops rapidly","CNS depressants (severe respiratory depression),MAOIs (severe reactions),Benzodiazepines (respiratory depression),Alcohol (fatal respiratory depression)","Avoid alcohol completely",morphine|mst|opioid|opiate|severe pain,Morphine Sulfate|Morphine Sulphate,Morphin|Morfine|Morphine,"Fentanyl (equivalent potency),Oxycodone,Tramadol (weaker)","Tramadol (for moderate pain)",Highly controlled. Reserved for severe pain. High abuse potential.
